ParentKey;LineNum;ItemCode;ItemDescription;Quantity;Price;LineTotal;Currency;WarehouseCode;AccountCode;CostingCode;TaxCode;U_HAK_DESTINO
DocNum;LineNum;ItemCode;Dscription;Quantity;Price;LineTotal;Currency;WhsCode;AcctCode;OcrCode;TaxCode;U_HAK_DESTINO
271;0;;COMPRA LIQUIDACION JULIO 2024;1;111.8;111.8;SOL;;6011100;GV-PURCH;IGV_EXE;
272;0;;COMPRA LIQUIDACION JULIO 2024;1;105.3;105.3;SOL;;6011100;GV-MEGA;IGV_EXE;
273;0;;COMPRA LIQUIDACION JUNIO 2024;1;29.25;29.25;SOL;;6011100;GV-AREQ;IGV_EXE;
274;0;;COMPRA LIQUIDACION JUNIO 2024;1;18265;18265;SOL;;6011100;GV-LARCO;IGV_EXE;
275;0;;COMPRA LIQUIDACION JUNIO 2024;1;131.3;131.3;SOL;;6011100;GV-MEGA;IGV_EXE;
276;0;;COMPRA LIQUIDACION JUNIO 2024;1;98.8;98.8;SOL;;6011100;GV-STANI;IGV_EXE;
277;0;;COMPRA LIQUIDACION JULIO 2024;1;1290.12;1290.12;SOL;;6011100;GV-STANI;IGV_EXE;
278;0;;COMPRA LIQUIDACION JULIO 2024;1;1573.8;1573.8;SOL;;6011100;GV-MEGA;IGV_EXE;
279;0;;COMPRA LIQUIDACION JULIO 2024;1;2789.4;2789.4;SOL;;6011100;GV-MEGA;IGV_EXE;
280;0;;COMPRA LIQUIDACION JULIO 2024;1;1741.04;1741.04;SOL;;6011100;GV-LARCO;IGV_EXE;
281;0;;COMPRA LIQUIDACION JUNIO 2024;1;1196.65;1196.65;SOL;;6011100;GV-STANI;IGV_EXE;
282;0;;COMPRA LIQUIDACION JUNIO 2024;1;2431;2431;SOL;;6011100;GV-PURCH;IGV_EXE;
283;0;;COMPRA LIQUIDACION JUNIO 2024;1;3116;3116;SOL;;6011100;GV-MEGA;IGV_EXE;
284;0;;COMPRA LIQUIDACION JUNIO 2024;1;1485.9;1485.9;SOL;;6011100;GV-AREQ;IGV_EXE;
285;0;;COMPRA LIQUIDACION JUNIO 2024;1;2346.5;2346.5;SOL;;6011100;GV-LARCO;IGV_EXE;
286;0;;COMPRA LIQUIDACION JUNIO 2024;1;1173.06;1173.06;SOL;;6011100;GV-AREQ;IGV_EXE;
287;0;;COMPRA LIQUIDACION JUNIO 2024;1;791.22;791.22;SOL;;6011100;GV-STANI;IGV_EXE;
288;0;;COMPRA LIQUIDACION JUNIO 2024;1;1337.72;1337.72;SOL;;6011100;GV-PURCH;IGV_EXE;
289;0;;COMPRA LIQUIDACION JUNIO 2024;1;1790.25;1790.25;SOL;;6011100;GV-MEGA;IGV_EXE;
290;0;;COMPRA LIQUIDACION JUNIO 2024;1;2633.06;2633.06;SOL;;6011100;GV-LARCO;IGV_EXE;
